GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openapi-spring,org.openapitools,RFC3339DateFormat,15,21,0,0,3,5,3,2,3,2
openapi-spring,org.openapitools,OpenApiGeneratorApplication,5,7,0,0,2,2,1,2,1,2
openapi-spring,org.openapitools.api,PasswordApiController,0,10,0,0,0,4,0,2,0,2
openapi-spring,org.openapitools.api,BrowserCompatibilityApi,2,5,0,0,1,1,1,1,1,1
openapi-spring,org.openapitools.api,CredentialsObscuredApiController,0,10,0,0,0,4,0,2,0,2
openapi-spring,org.openapitools.api,LoginPageLoadApi,7,0,0,0,2,0,2,0,2,0
openapi-spring,org.openapitools.api,LoginButtonStatusApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,CredentialsObscuredApi,19,19,3,1,6,4,3,2,1,2
openapi-spring,org.openapitools.api,UsernameApiController,0,10,0,0,0,4,0,2,0,2
openapi-spring,org.openapitools.api,UsernameApi,31,19,5,1,10,4,4,2,1,2
openapi-spring,org.openapitools.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
openapi-spring,org.openapitools.api,AccessibilityApi,2,5,0,0,1,1,1,1,1,1
openapi-spring,org.openapitools.api,LoginApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,LoginButtonClickApi,7,0,0,0,2,0,2,0,2,0
openapi-spring,org.openapitools.api,LoginButtonStatusApi,38,0,4,0,10,0,5,0,3,0
openapi-spring,org.openapitools.api,BrowserCompatibilityApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,LoginPageLoadApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,AccessibilityApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,LoginApi,38,28,3,3,7,6,4,1,1,1
openapi-spring,org.openapitools.api,ViewportApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,ViewportApi,2,5,0,0,1,1,1,1,1,1
openapi-spring,org.openapitools.api,LoginButtonClickApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,PasswordApi,19,19,3,1,6,4,3,2,1,2
openapi-spring,org.openapitools.model,CredentialsObscuredGet200Response,83,0,8,0,21,0,12,0,8,0
openapi-spring,org.openapitools.model,LoginPostRequest,123,24,19,1,22,9,16,6,6,6
openapi-spring,org.openapitools.model,LoginButtonStatusGet200Response,83,0,8,0,21,0,12,0,8,0
openapi-spring,org.openapitools.model,UsernamePostRequest,80,3,8,0,20,1,11,1,7,1
openapi-spring,org.openapitools.configuration,HomeController,2,3,0,0,1,1,1,1,1,1
openapi-spring,org.openapitools.configuration,SpringDocConfiguration,0,17,0,0,0,4,0,2,0,2
